2025-04-22 20:51:18 -X1=0.1250m, Y1=-0.0149m, Z1=0.2890m, A1=18.63 deg
2025-04-22 20:52:32 -X1=0.0860m, Y1=-0.0451m, Z1=0.2860m, A1=19.75 deg
2025-04-22 20:56:10 -X1=0.0851m, Y1=-0.0453m, Z1=0.2850m, A1=19.57 deg
2025-04-22 21:00:24 -X1=0.0850m, Y1=-0.0454m, Z1=0.2850m, A1=19.50 deg
2025-04-22 21:01:40 -X1=0.0851m, Y1=-0.0021m, Z1=0.2900m, A1=19.40 deg
2025-04-22 21:02:44 -X1=0.1319m, Y1=-0.0438m, Z1=0.2870m, A1=14.53 deg
2025-04-22 21:23:01 -X1=0.1314m, Y1=-0.0429m, Z1=0.2880m, A1=14.44 deg
2025-04-23 08:51:54 -X1=0.1321m, Y1=-0.0424m, Z1=0.2870m, A1=14.24 deg
2025-04-23 08:58:13 -X1=0.1332m, Y1=-0.0428m, Z1=0.2880m, A1=14.30 deg
2025-04-23 09:00:02 -X1=0.1332m, Y1=-0.0428m, Z1=0.2880m, A1=14.30 deg
2025-04-23 09:00:02 -X1=0.1331m, Y1=-0.0423m, Z1=0.2880m, A1=14.30 deg
2025-04-23 09:16:18 -X1=0.1321m, Y1=-0.0423m, Z1=0.2870m, A1=14.30 deg
2025-04-23 09:19:29 -X1=0.1326m, Y1=-0.0424m, Z1=0.2880m, A1=14.30 deg
2025-04-23 09:33:37 -X1=0.1314m, Y1=-0.0429m, Z1=0.2880m, A1=14.44 deg
2025-04-23 09:36:03 -X1=0.1323m, Y1=-0.0430m, Z1=0.2880m, A1=14.32 deg
2025-04-23 09:41:22 -X1=0.1323m, Y1=-0.0427m, Z1=0.2870m, A1=14.30 deg
2025-04-23 09:42:32 -X1=0.1327m, Y1=-0.0422m, Z1=0.2880m, A1=14.40 deg
2025-04-24 14:53:42 -X1=0.1299m, Y1=-0.0417m, Z1=0.2860m, A1=14.50 deg
2025-04-24 20:46:41 -X1=-0.0526m, Y1=-0.0280m, Z1=0.2860m, A1=20.64 deg
2025-04-24 20:46:53 -X1=-0.0521m, Y1=-0.0275m, Z1=0.2850m, A1=20.41 deg
2025-04-24 21:00:53 -X1=-0.0510m, Y1=-0.0257m, Z1=0.2840m, A1=20.99 deg
2025-04-24 22:06:54 -X1=-0.0152m, Y1=-0.0551m, Z1=0.2840m, A1=18.43 deg
2025-04-24 22:11:01 -X1=-0.0496m, Y1=-0.0397m, Z1=0.2840m, A1=19.65 deg
2025-04-24 22:15:31 -X1=-0.0572m, Y1=-0.0232m, Z1=0.2850m, A1=21.54 deg
2025-04-24 22:19:40 -X1=-0.0631m, Y1=-0.0354m, Z1=0.2850m, A1=18.72 deg
